Hardwood,Cooking Time,Pressure,Strength
2,3,400,196.6
2,3,400,196.0
4,3,400,198.5
4,3,400,197.2
8,3,400,197.5
8,3,400,196.6
2,4,400,198.4
2,4,400,198.6
4,4,400,197.5
4,4,400,198.1
8,4,400,197.6
8,4,400,198.4
2,3,500,197.7
2,3,500,196.0
4,3,500,196.0
4,3,500,196.9
8,3,500,195.6
8,3,500,196.2
2,4,500,199.6
2,4,500,200.4
4,4,500,198.7
4,4,500,198.0
8,4,500,197.0
8,4,500,197.8
2,3,650,199.8
2,3,650,199.4
4,3,650,198.4
4,3,650,197.6
8,3,650,197.4
8,3,650,198.1
2,4,650,200.6
2,4,650,200.9
4,4,650,199.6
4,4,650,199.0
8,4,650,198.5
8,4,650,199.8
