,Depth of Cut,Feed Rate,Surface Finish
1,0.15,0.2,74
2,0.15,0.2,64
3,0.15,0.2,60
4,0.18,0.2,79
5,0.18,0.2,68
6,0.18,0.2,73
7,0.2,0.2,82
8,0.2,0.2,88
9,0.2,0.2,92
10,0.25,0.2,99
11,0.25,0.2,104
12,0.25,0.2,96
13,0.15,0.25,92
14,0.15,0.25,86
15,0.15,0.25,88
16,0.18,0.25,98
17,0.18,0.25,104
18,0.18,0.25,88
19,0.2,0.25,99
20,0.2,0.25,108
21,0.2,0.25,95
22,0.25,0.25,104
23,0.25,0.25,110
24,0.25,0.25,99
25,0.15,0.3,99
26,0.15,0.3,98
27,0.15,0.3,102
28,0.18,0.3,104
29,0.18,0.3,99
30,0.18,0.3,95
31,0.2,0.3,108
32,0.2,0.3,110
33,0.2,0.3,99
34,0.25,0.3,114
35,0.25,0.3,107
36,0.25,0.3,111
